DeepReachProbe: maxFaces=160 perSet=12min — 3 n=3 deficit sets
    3.3.6.6; 3.6.3.6; 6.6.6                    [  740s] states=303182   (409/s)  frontier~0  faces~104/max162 tilings=4
>>> 3.3.6.6; 3.6.3.6; 6.6.6                  reached=1/2  [STILL SHORT (was 1/2 @96)]  747s
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   10s] states=3971     (396/s)  frontier~77  faces~158/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   20s] states=7333     (366/s)  frontier~28  faces~95/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   30s] states=10727    (357/s)  frontier~10  faces~127/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   40s] states=14101    (352/s)  frontier~33  faces~76/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   50s] states=17239    (344/s)  frontier~51  faces~153/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   60s] states=20393    (339/s)  frontier~23  faces~104/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   70s] states=23787    (339/s)  frontier~29  faces~146/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   80s] states=27511    (343/s)  frontier~18  faces~161/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [   90s] states=31479    (349/s)  frontier~28  faces~156/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  100s] states=35799    (357/s)  frontier~20  faces~102/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  110s] states=38566    (350/s)  frontier~10  faces~96/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  120s] states=41218    (343/s)  frontier~11  faces~150/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  130s] states=44386    (341/s)  frontier~7  faces~132/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  140s] states=47952    (342/s)  frontier~34  faces~140/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  150s] states=51277    (341/s)  frontier~15  faces~123/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  160s] states=54821    (342/s)  frontier~22  faces~124/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  170s] states=59071    (347/s)  frontier~34  faces~144/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  180s] states=63931    (355/s)  frontier~22  faces~160/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  190s] states=68892    (362/s)  frontier~23  faces~159/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  200s] states=72543    (362/s)  frontier~25  faces~158/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  210s] states=76155    (362/s)  frontier~31  faces~140/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  220s] states=80709    (366/s)  frontier~15  faces~142/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  230s] states=85007    (369/s)  frontier~31  faces~158/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  240s] states=89168    (371/s)  frontier~50  faces~120/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  250s] states=92475    (369/s)  frontier~6  faces~160/max163 tilings=7
