=== n=4 oracle sweep START 2026-06-24T23:54:33+02:00  parallelism=12  -Xmx12g  per-step=5400s ===
log: sweep-logs/n4-sweep-20260624-235433.log

############### maxSize=26  started 2026-06-24T23:54:33+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=26, parallelism=12) ...
  [maxSize=28] 1710s  dsets=121614763 (71117/s)  distinct=48
  [maxSize=28] 1725s  dsets=122548297 (71040/s)  distinct=51
  [maxSize=28] 1740s  dsets=123535513 (70995/s)  distinct=54
  [maxSize=28] 1755s  dsets=124225966 (70782/s)  distinct=59
  [maxSize=28] 1770s  dsets=125058663 (70652/s)  distinct=59
  [maxSize=28] 1785s  dsets=125861211 (70508/s)  distinct=59
  [maxSize=28] 1800s  dsets=127023798 (70566/s)  distinct=59
  [maxSize=28] 1815s  dsets=128038164 (70542/s)  distinct=59
  [maxSize=28] 1830s  dsets=129196371 (70597/s)  distinct=59
  [maxSize=28] 1845s  dsets=130084715 (70504/s)  distinct=59
  [maxSize=28] 1860s  dsets=131041197 (70450/s)  distinct=59
  [maxSize=28] 1875s  dsets=132198945 (70504/s)  distinct=61
  [maxSize=28] 1890s  dsets=133176628 (70461/s)  distinct=61
  [maxSize=28] 1905s  dsets=134247065 (70469/s)  distinct=61
  [maxSize=28] 1920s  dsets=135032023 (70327/s)  distinct=61
  [maxSize=28] 1935s  dsets=135975545 (70269/s)  distinct=62
  [maxSize=28] 1950s  dsets=137033706 (70271/s)  distinct=62
  [maxSize=28] 1965s  dsets=138391994 (70426/s)  distinct=62
  [maxSize=28] 1980s  dsets=139620607 (70513/s)  distinct=62
  [maxSize=28] 1995s  dsets=140752926 (70550/s)  distinct=62
  [maxSize=28] 2010s  dsets=141880781 (70585/s)  distinct=62
  [maxSize=28] 2025s  dsets=143039873 (70635/s)  distinct=62
  [maxSize=28] 2040s  dsets=144344838 (70755/s)  distinct=62
  [maxSize=28] 2055s  dsets=145456843 (70779/s)  distinct=62
  [maxSize=28] 2070s  dsets=146569185 (70804/s)  distinct=62
  [maxSize=28] 2085s  dsets=147563930 (70772/s)  distinct=62
  [maxSize=28] 2100s  dsets=148713426 (70813/s)  distinct=62
  [maxSize=28] 2115s  dsets=149675460 (70766/s)  distinct=63
  [maxSize=28] 2130s  dsets=150562496 (70684/s)  distinct=65
  [maxSize=28] 2145s  dsets=151541438 (70646/s)  distinct=65
  [maxSize=28] 2160s  dsets=152506562 (70602/s)  distinct=65
  [maxSize=28] 2175s  dsets=153306603 (70483/s)  distinct=65
  [maxSize=28] 2190s  dsets=154178269 (70399/s)  distinct=66
  [maxSize=28] 2205s  dsets=155086506 (70332/s)  distinct=66
  [maxSize=28] 2220s  dsets=155937704 (70240/s)  distinct=66
  [maxSize=28] 2235s  dsets=156775121 (70143/s)  distinct=66
  [maxSize=28] 2250s  dsets=157468616 (69984/s)  distinct=66
  [maxSize=28] 2265s  dsets=158319713 (69896/s)  distinct=66
  [maxSize=28] 2280s  dsets=159426382 (69921/s)  distinct=66
  [maxSize=28] 2295s  dsets=160660019 (70002/s)  distinct=66
  [maxSize=28] 2310s  dsets=161452231 (69890/s)  distinct=66
  [maxSize=28] 2325s  dsets=162085325 (69712/s)  distinct=66
  [maxSize=28] 2340s  dsets=163024919 (69666/s)  distinct=66
  [maxSize=28] 2355s  dsets=164004445 (69639/s)  distinct=66
  [maxSize=28] 2370s  dsets=164697683 (69490/s)  distinct=66
  [maxSize=28] 2385s  dsets=165588394 (69427/s)  distinct=66
  [maxSize=28] 2400s  dsets=166402037 (69332/s)  distinct=66
  [maxSize=28] 2415s  dsets=167395371 (69312/s)  distinct=66
  [maxSize=28] 2430s  dsets=168523766 (69349/s)  distinct=66
  [maxSize=28] 2445s  dsets=169540371 (69339/s)  distinct=66
  [maxSize=28] 2460s  dsets=170209479 (69188/s)  distinct=73
  [maxSize=28] 2475s  dsets=171068611 (69116/s)  distinct=73
  [maxSize=28] 2490s  dsets=171996670 (69072/s)  distinct=73
  [maxSize=28] 2505s  dsets=172676255 (68930/s)  distinct=73
  [maxSize=28] 2520s  dsets=173623680 (68896/s)  distinct=73
  [maxSize=28] 2535s  dsets=174568801 (68861/s)  distinct=73
  [maxSize=28] 2550s  dsets=175347176 (68761/s)  distinct=73
  [maxSize=28] 2565s  dsets=176429514 (68781/s)  distinct=73
  [maxSize=28] 2580s  dsets=177304623 (68720/s)  distinct=73
  [maxSize=28] 2595s  dsets=178268098 (68694/s)  distinct=73
  [maxSize=28] 2610s  dsets=179111176 (68622/s)  distinct=73
  [maxSize=28] 2625s  dsets=179980178 (68561/s)  distinct=74
  [maxSize=28] 2640s  dsets=181018046 (68565/s)  distinct=75
  [maxSize=28] 2655s  dsets=181671499 (68424/s)  distinct=75
  [maxSize=28] 2670s  dsets=182319215 (68282/s)  distinct=75
  [maxSize=28] 2685s  dsets=183223802 (68237/s)  distinct=75
  [maxSize=28] 2700s  dsets=183930501 (68120/s)  distinct=75
  [maxSize=28] 2715s  dsets=184583729 (67984/s)  distinct=76
  [maxSize=28] 2730s  dsets=185022285 (67771/s)  distinct=76
  [maxSize=28] 2745s  dsets=185777368 (67676/s)  distinct=76
  [maxSize=28] 2760s  dsets=186340445 (67512/s)  distinct=77
  [maxSize=28] 2775s  dsets=187172099 (67447/s)  distinct=77
  [maxSize=28] 2790s  dsets=187876863 (67337/s)  distinct=77
  [maxSize=28] 2805s  dsets=188781988 (67300/s)  distinct=79
  [maxSize=28] 2820s  dsets=189722036 (67275/s)  distinct=79
  [maxSize=28] 2835s  dsets=190694090 (67262/s)  distinct=79
  [maxSize=28] 2850s  dsets=191373032 (67146/s)  distinct=79
  [maxSize=28] 2865s  dsets=192240458 (67097/s)  distinct=79
  [maxSize=28] 2880s  dsets=193002897 (67012/s)  distinct=79
  [maxSize=28] 2895s  dsets=193959833 (66996/s)  distinct=79
  [maxSize=28] 2910s  dsets=194687846 (66901/s)  distinct=79
  [maxSize=28] 2925s  dsets=195484286 (66830/s)  distinct=79
  [maxSize=28] 2940s  dsets=196303216 (66767/s)  distinct=79
  [maxSize=28] 2955s  dsets=196843008 (66611/s)  distinct=79
  [maxSize=28] 2970s  dsets=197382471 (66456/s)  distinct=79
  [maxSize=28] 2985s  dsets=197890100 (66292/s)  distinct=79
  [maxSize=28] 3000s  dsets=198504087 (66166/s)  distinct=79
  [maxSize=28] 3015s  dsets=199263155 (66088/s)  distinct=79
  [maxSize=28] 3030s  dsets=199966964 (65993/s)  distinct=79
  [maxSize=28] 3045s  dsets=200668327 (65899/s)  distinct=80
  [maxSize=28] 3060s  dsets=201509491 (65850/s)  distinct=80
  [maxSize=28] 3075s  dsets=202257980 (65773/s)  distinct=80
  [maxSize=28] 3090s  dsets=203124178 (65734/s)  distinct=80
  [maxSize=28] 3105s  dsets=204194971 (65761/s)  distinct=80
  [maxSize=28] 3120s  dsets=205094853 (65733/s)  distinct=80
  [maxSize=28] 3135s  dsets=205925863 (65684/s)  distinct=80
  [maxSize=28] 3150s  dsets=206770538 (65639/s)  distinct=80
  [maxSize=28] 3165s  dsets=207552261 (65575/s)  distinct=84
  [maxSize=28] 3180s  dsets=208464182 (65552/s)  distinct=84
  [maxSize=28] 3195s  dsets=209491875 (65566/s)  distinct=84
  [maxSize=28] 3210s  dsets=210457461 (65561/s)  distinct=84
  [maxSize=28] 3225s  dsets=211424545 (65556/s)  distinct=84
  [maxSize=28] 3240s  dsets=212454869 (65570/s)  distinct=84
  [maxSize=28] 3255s  dsets=213348315 (65542/s)  distinct=84
  [maxSize=28] 3270s  dsets=214460961 (65582/s)  distinct=84
  [maxSize=28] 3285s  dsets=215098571 (65477/s)  distinct=84
  [maxSize=28] 3300s  dsets=215758134 (65379/s)  distinct=84
  [maxSize=28] 3315s  dsets=216467756 (65297/s)  distinct=84
  [maxSize=28] 3330s  dsets=217236727 (65234/s)  distinct=84
  [maxSize=28] 3345s  dsets=217975817 (65162/s)  distinct=84
  [maxSize=28] 3360s  dsets=218746958 (65101/s)  distinct=84
  [maxSize=28] 3375s  dsets=219471497 (65026/s)  distinct=84
  [maxSize=28] 3390s  dsets=220189034 (64950/s)  distinct=84
  [maxSize=28] 3405s  dsets=220765058 (64833/s)  distinct=86
